purchase_date,Day_name,Month_name,day_of_month,day_classification,time_buckets,revenue_per_day,Number_of_sales,number_of_products,number_of_stores,store_location,product_category,product_detail
2023-01-01,Sun,Jan,1,Weekend,01.Morning,12,2,1,1,Lower Manhattan,Coffee,Ethiopia Rg
2023-01-01,Sun,Jan,1,Weekend,01.Morning,18.6,4,1,1,Lower Manhattan,Tea,Spicy Eye Opener Chai Lg
2023-01-01,Sun,Jan,1,Weekend,01.Morning,13.5,2,1,1,Lower Manhattan,Drinking Chocolate,Dark chocolate Lg
2023-01-01,Sun,Jan,1,Weekend,01.Morning,4,2,1,1,Lower Manhattan,Coffee,Our Old Time Diner Blend Sm
2023-01-01,Sun,Jan,1,Weekend,01.Morning,9,3,1,1,Lower Manhattan,Bakery,Oatmeal Scone
2023-01-01,Sun,Jan,1,Weekend,01.Morning,4,1,1,1,Lower Manhattan,Coffee,Columbian Medium Roast Sm
2023-01-01,Sun,Jan,1,Weekend,01.Morning,4.25,1,1,1,Lower Manhattan,Coffee,Latte Rg
2023-01-01,Sun,Jan,1,Weekend,01.Morning,14,2,1,1,Lower Manhattan,Drinking Chocolate,Dark chocolate Rg
2023-01-01,Sun,Jan,1,Weekend,01.Morning,20.4,5,1,1,Lower Manhattan,Tea,Spicy Eye Opener Chai Rg
2023-01-01,Sun,Jan,1,Weekend,01.Morning,7,1,1,1,Lower Manhattan,Coffee,Ethiopia Lg
2023-01-01,Sun,Jan,1,Weekend,01.Morning,15,3,1,1,Lower Manhattan,Tea,Earl Grey Lg
2023-01-01,Sun,Jan,1,Weekend,01.Morning,6,1,1,1,Lower Manhattan,Coffee,Ouro Brasileiro shot
2023-01-01,Sun,Jan,1,Weekend,01.Morning,21,4,1,1,Lower Manhattan,Tea,Serenity Green Tea Lg
2023-01-01,Sun,Jan,1,Weekend,01.Morning,7.5,2,1,1,Lower Manhattan,Bakery,Jumbo Savory Scone
2023-01-01,Sun,Jan,1,Weekend,01.Morning,2.5,1,1,1,Hell's Kitchen,Tea,Lemon Grass Rg
2023-01-01,Sun,Jan,1,Weekend,01.Morning,13.5,2,1,1,Hell's Kitchen,Drinking Chocolate,Dark chocolate Lg
2023-01-01,Sun,Jan,1,Weekend,01.Morning,4.75,1,1,1,Hell's Kitchen,Drinking Chocolate,Sustainably Grown Organic Lg
2023-01-01,Sun,Jan,1,Weekend,01.Morning,14,2,1,1,Hell's Kitchen,Coffee,Ethiopia Lg
2023-01-01,Sun,Jan,1,Weekend,01.Morning,6.5,2,1,1,Lower Manhattan,Bakery,Hazelnut Biscotti
2023-01-01,Sun,Jan,1,Weekend,01.Morning,7.6499999999999995,2,1,1,Hell's Kitchen,Tea,Spicy Eye Opener Chai Rg
2023-01-01,Sun,Jan,1,Weekend,01.Morning,33.75,5,1,1,Hell's Kitchen,Coffee,Cappuccino
2023-01-01,Sun,Jan,1,Weekend,01.Morning,15,3,1,1,Lower Manhattan,Tea,Lemon Grass Lg
2023-01-01,Sun,Jan,1,Weekend,01.Morning,7,2,1,1,Lower Manhattan,Bakery,Chocolate Chip Biscotti
2023-01-01,Sun,Jan,1,Weekend,01.Morning,18,3,1,1,Lower Manhattan,Tea,Peppermint Lg
2023-01-01,Sun,Jan,1,Weekend,01.Morning,11.25,3,1,1,Lower Manhattan,Bakery,Chocolate Croissant
2023-01-01,Sun,Jan,1,Weekend,01.Morning,3.75,1,1,1,Hell's Kitchen,Coffee,Latte
2023-01-01,Sun,Jan,1,Weekend,01.Morning,9,3,1,1,Lower Manhattan,Coffee,Brazilian Rg
2023-01-01,Sun,Jan,1,Weekend,01.Morning,7,1,1,1,Lower Manhattan,Coffee,Brazilian Lg
2023-01-01,Sun,Jan,1,Weekend,01.Morning,5,1,1,1,Lower Manhattan,Coffee,Columbian Medium Roast Rg
2023-01-01,Sun,Jan,1,Weekend,01.Morning,15,5,1,1,Hell's Kitchen,Tea,Morning Sunrise Chai Rg
2023-01-01,Sun,Jan,1,Weekend,01.Morning,4,1,1,1,Lower Manhattan,Tea,Morning Sunrise Chai Lg
2023-01-01,Sun,Jan,1,Weekend,01.Morning,12,3,1,1,Hell's Kitchen,Tea,Peppermint Lg
2023-01-01,Sun,Jan,1,Weekend,01.Morning,6,2,1,1,Hell's Kitchen,Coffee,Our Old Time Diner Blend Lg
2023-01-01,Sun,Jan,1,Weekend,01.Morning,18.75,3,1,1,Lower Manhattan,Drinking Chocolate,Sustainably Grown Organic Rg
2023-01-01,Sun,Jan,1,Weekend,01.Morning,4.5,1,1,1,Lower Manhattan,Bakery,Scottish Cream Scone 
2023-01-01,Sun,Jan,1,Weekend,01.Morning,2.5,1,1,1,Lower Manhattan,Tea,Peppermint Rg
2023-01-01,Sun,Jan,1,Weekend,01.Morning,2.5,1,1,1,Lower Manhattan,Tea,English Breakfast Rg
2023-01-01,Sun,Jan,1,Weekend,01.Morning,10,3,1,1,Hell's Kitchen,Coffee,Our Old Time Diner Blend Rg
2023-01-01,Sun,Jan,1,Weekend,01.Morning,2.5,1,1,1,Hell's Kitchen,Tea,Serenity Green Tea Rg
2023-01-01,Sun,Jan,1,Weekend,01.Morning,9,2,1,1,Hell's Kitchen,Coffee,Ethiopia Rg
2023-01-01,Sun,Jan,1,Weekend,01.Morning,8.8,2,1,1,Lower Manhattan,Coffee,Brazilian Sm
2023-01-01,Sun,Jan,1,Weekend,01.Morning,11.25,3,1,1,Lower Manhattan,Coffee,Latte
2023-01-01,Sun,Jan,1,Weekend,01.Morning,2.45,1,1,1,Lower Manhattan,Coffee,Jamaican Coffee River Sm
2023-01-01,Sun,Jan,1,Weekend,01.Morning,15,2,1,1,Hell's Kitchen,Coffee,Jamaican Coffee River Lg
2023-01-01,Sun,Jan,1,Weekend,01.Morning,3.5,1,1,1,Hell's Kitchen,Bakery,Ginger Biscotti
2023-01-01,Sun,Jan,1,Weekend,01.Morning,3,1,1,1,Hell's Kitchen,Tea,Traditional Blend Chai Lg
2023-01-01,Sun,Jan,1,Weekend,01.Morning,17,2,1,1,Hell's Kitchen,Coffee,Cappuccino Lg
